Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE"
Housing,"Housing Tenure",Renter-occupied,"44,876","(+/-3,894)","48,814","(+/-4,161)","58,499","(+/-4,023)","47,680","(+/-4,061)","118,637","(+/-5,801)","155,604","(+/-6,348)","240,322","(+/-6,730)","211,830","(+/-6,523)","211,626","(+/-6,927)","217,218","(+/-8,212)","117,033","(+/-5,529)","265,752","(+/-9,797)","272,491","(+/-9,475)","209,854","(+/-7,753)","235,471","(+/-8,050)","132,644","(+/-5,556)","67,455","(+/-4,215)","92,651","(+/-4,779)","93,193","(+/-4,350)","130,068","(+/-5,207)","94,708","(+/-4,113)","108,607","(+/-4,094)","77,247","(+/-4,387)","77,731","(+/-3,697)","119,118","(+/-4,553)","138,469","(+/-5,913)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.83,(+/-0.05),3.31,(+/-0.07),2.82,(+/-0.05),3.17,(+/-0.06),3.08,(+/-0.07),2.50,(+/-0.08),2.66,(+/-0.15),2.78,(+/-0.11),2.86,(+/-0.12),2.39,(+/-0.08),3.02,(+/-0.06),1.93,(+/-0.07),2.10,(+/-0.14),2.80,(+/-0.09),2.56,(+/-0.15),2.66,(+/-0.07),2.87,(+/-0.05),2.71,(+/-0.05),2.38,(+/-0.04),2.43,(+/-0.04),2.32,(+/-0.04),2.42,(+/-0.04),2.43,(+/-0.03),2.38,(+/-0.03),2.44,(+/-0.04),2.34,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.42,(+/-0.16),2.69,(+/-0.14),2.46,(+/-0.14),2.56,(+/-0.14),2.53,(+/-0.08),2.43,(+/-0.07),2.20,(+/-0.06),2.20,(+/-0.05),2.34,(+/-0.07),2.10,(+/-0.07),2.48,(+/-0.08),1.74,(+/-0.06),2.23,(+/-0.07),2.44,(+/-0.07),2.37,(+/-0.06),2.38,(+/-0.07),2.79,(+/-0.10),2.26,(+/-0.11),1.92,(+/-0.07),1.88,(+/-0.05),1.89,(+/-0.06),1.81,(+/-0.05),1.86,(+/-0.07),1.93,(+/-0.07),2.00,(+/-0.06),1.95,(+/-0.06)
Housing,"Year Householder Moved into Unit","Occupied housing units","276,622","(+/-4,023)","240,953","(+/-4,791)","271,653","(+/-6,464)","247,404","(+/-4,028)","254,974","(+/-5,960)","278,514","(+/-6,611)","307,407","(+/-7,419)","304,996","(+/-6,955)","288,824","(+/-7,187)","315,453","(+/-9,245)","267,029","(+/-4,958)","393,204","(+/-9,166)","312,338","(+/-9,830)","285,902","(+/-8,425)","284,537","(+/-6,935)","298,663","(+/-5,079)","263,599","(+/-3,579)","288,992","(+/-4,160)","322,121","(+/-4,940)","335,098","(+/-3,882)","332,099","(+/-3,669)","323,641","(+/-3,645)","322,798","(+/-4,898)","323,061","(+/-4,166)","324,724","(+/-3,164)","344,661","(+/-4,933)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","39,036","(+/-3,789)","38,089","(+/-3,248)","40,815","(+/-3,942)","37,090","(+/-4,103)","39,710","(+/-4,058)","59,704","(+/-4,831)","99,398","(+/-5,935)","62,500","(+/-4,476)","64,688","(+/-4,956)","104,913","(+/-7,104)","44,870","(+/-3,437)","138,620","(+/-7,142)","74,726","(+/-5,810)","61,735","(+/-5,202)","53,372","(+/-5,012)","59,690","(+/-4,258)","47,713","(+/-4,057)","64,501","(+/-4,514)","70,374","(+/-3,861)","88,161","(+/-4,690)","68,583","(+/-3,316)","73,299","(+/-3,711)","60,678","(+/-3,429)","65,139","(+/-2,966)","78,846","(+/-3,622)","81,449","(+/-5,073)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","42,699","(+/-3,358)","36,877","(+/-2,853)","38,516","(+/-2,689)","34,811","(+/-3,450)","42,705","(+/-4,286)","43,357","(+/-3,710)","58,946","(+/-4,532)","51,596","(+/-4,676)","47,615","(+/-3,822)","43,908","(+/-4,187)","40,622","(+/-3,524)","64,464","(+/-6,110)","42,107","(+/-4,963)","47,219","(+/-4,618)","49,881","(+/-5,224)","47,494","(+/-4,162)","38,506","(+/-3,286)","48,948","(+/-3,658)","53,596","(+/-3,684)","60,370","(+/-4,392)","52,205","(+/-3,819)","52,471","(+/-3,741)","45,154","(+/-3,386)","49,261","(+/-2,656)","56,998","(+/-3,945)","60,929","(+/-4,403)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","59,491","(+/-4,553)","49,445","(+/-3,547)","56,571","(+/-3,452)","50,928","(+/-4,358)","57,172","(+/-4,922)","67,152","(+/-4,781)","64,588","(+/-4,949)","71,105","(+/-5,422)","63,188","(+/-4,682)","59,363","(+/-5,729)","65,311","(+/-4,003)","67,791","(+/-6,208)","66,008","(+/-6,049)","70,627","(+/-5,387)","76,815","(+/-5,956)","73,212","(+/-4,979)","57,801","(+/-3,449)","57,644","(+/-3,597)","64,947","(+/-3,404)","70,148","(+/-4,701)","73,259","(+/-3,426)","68,260","(+/-3,908)","71,621","(+/-3,600)","68,342","(+/-4,454)","68,206","(+/-3,602)","72,628","(+/-4,452)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","54,938","(+/-3,938)","44,055","(+/-3,800)","52,873","(+/-4,403)","47,879","(+/-4,230)","49,267","(+/-3,717)","44,830","(+/-4,195)","40,269","(+/-3,995)","53,498","(+/-4,420)","44,547","(+/-3,623)","40,500","(+/-3,747)","49,663","(+/-3,735)","40,298","(+/-4,784)","58,196","(+/-5,199)","48,645","(+/-4,314)","51,540","(+/-5,335)","51,483","(+/-4,432)","49,396","(+/-3,357)","50,290","(+/-4,067)","52,588","(+/-3,186)","49,806","(+/-2,929)","53,488","(+/-3,045)","50,116","(+/-3,283)","57,392","(+/-3,916)","55,156","(+/-3,373)","54,381","(+/-3,442)","50,658","(+/-4,077)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","38,075","(+/-2,755)","30,489","(+/-2,893)","36,906","(+/-2,962)","36,518","(+/-2,957)","33,784","(+/-3,022)","30,772","(+/-3,600)","21,395","(+/-2,806)","39,743","(+/-4,034)","33,949","(+/-3,274)","28,909","(+/-3,248)","33,190","(+/-2,760)","33,988","(+/-5,500)","36,226","(+/-5,056)","30,702","(+/-3,759)","27,342","(+/-3,368)","32,425","(+/-2,901)","34,353","(+/-3,109)","30,429","(+/-2,806)","35,124","(+/-2,431)","29,456","(+/-2,169)","36,841","(+/-2,354)","37,087","(+/-2,629)","39,010","(+/-2,584)","37,243","(+/-2,427)","33,210","(+/-2,798)","32,305","(+/-2,332)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","42,383","(+/-2,859)","41,998","(+/-3,131)","45,972","(+/-3,201)","40,178","(+/-2,642)","32,336","(+/-2,750)","32,699","(+/-3,120)","22,811","(+/-2,628)","26,554","(+/-2,616)","34,837","(+/-3,210)","37,860","(+/-3,668)","33,373","(+/-2,733)","48,043","(+/-5,110)","35,075","(+/-4,017)","26,974","(+/-2,856)","25,587","(+/-2,725)","34,359","(+/-3,352)","35,830","(+/-2,654)","37,180","(+/-2,591)","45,492","(+/-2,343)","37,157","(+/-2,380)","47,723","(+/-2,479)","42,408","(+/-2,435)","48,943","(+/-3,135)","47,920","(+/-2,364)","33,083","(+/-2,159)","46,692","(+/-2,583)"
Housing,Value,"Owner-occupied units","231,746","(+/-3,942)","192,139","(+/-5,223)","213,154","(+/-5,728)","199,724","(+/-4,800)","136,337","(+/-5,244)","122,910","(+/-5,797)","67,085","(+/-4,142)","93,166","(+/-5,155)","77,198","(+/-3,988)","98,235","(+/-5,610)","149,996","(+/-4,416)","127,452","(+/-6,614)","39,847","(+/-4,008)","76,048","(+/-4,771)","49,066","(+/-4,215)","166,019","(+/-5,590)","196,144","(+/-4,474)","196,341","(+/-5,093)","228,928","(+/-4,412)","205,030","(+/-5,039)","237,391","(+/-3,929)","215,034","(+/-4,218)","245,551","(+/-4,839)","245,330","(+/-4,652)","205,606","(+/-4,154)","206,192","(+/-5,364)"
Housing,Value,"Less than $50,000","2,728",(+/-599),"4,303","(+/-1,037)","2,630",(+/-815),"2,398",(+/-724),"4,421","(+/-1,083)","2,971","(+/-1,238)","1,597",(+/-730),"4,148","(+/-1,097)","1,518",(+/-535),"2,879","(+/-1,133)","3,500",(+/-940),"2,334",(+/-875),"2,655",(+/-784),"2,727","(+/-1,002)","3,247",(+/-931),"10,970","(+/-2,139)","3,012","(+/-1,005)","6,853","(+/-1,449)","15,584","(+/-1,868)","9,833","(+/-1,856)","17,836","(+/-1,757)","11,045","(+/-1,619)","21,428","(+/-1,926)","19,181","(+/-2,202)","7,620","(+/-1,184)","11,696","(+/-1,579)"
Housing,Value,"$50,000 to $99,999","3,219",(+/-971),"3,089","(+/-1,043)","3,310",(+/-945),"2,501","(+/-1,004)","2,604",(+/-968),"1,921",(+/-745),652,(+/-387),"2,491",(+/-943),"1,371",(+/-622),"1,324",(+/-897),"2,322",(+/-795),906,(+/-464),204,(+/-241),"1,765",(+/-829),"2,391","(+/-1,039)","4,183","(+/-1,340)","2,058",(+/-706),"5,254","(+/-1,267)","22,870","(+/-2,041)","7,689","(+/-1,524)","37,787","(+/-2,888)","22,168","(+/-2,256)","40,161","(+/-2,556)","34,539","(+/-2,684)","14,732","(+/-2,011)","17,077","(+/-1,787)"
Housing,Value,"$100,000 to $149,999","1,870",(+/-708),"1,327",(+/-597),"1,004",(+/-525),"1,501",(+/-924),573,(+/-349),"2,066",(+/-955),"1,533",(+/-825),"1,955",(+/-809),"2,278",(+/-939),"1,462",(+/-743),"1,506",(+/-649),"2,428","(+/-1,270)","2,644","(+/-2,086)","1,365",(+/-737),"1,185",(+/-668),"5,316","(+/-1,203)","4,237","(+/-1,092)","6,045","(+/-1,548)","29,188","(+/-2,005)","13,821","(+/-2,049)","37,092","(+/-2,661)","34,805","(+/-2,775)","34,245","(+/-2,279)","42,653","(+/-2,623)","26,202","(+/-2,535)","26,667","(+/-2,679)"
Housing,Value,"$150,000 to $199,999","2,685",(+/-797),924,(+/-470),"1,628",(+/-548),"1,293",(+/-534),"1,478",(+/-571),"2,917","(+/-1,028)",696,(+/-393),943,(+/-469),"1,331",(+/-668),703,(+/-446),914,(+/-368),612,(+/-407),"2,462","(+/-1,095)","2,420","(+/-1,134)","2,563",(+/-876),"7,817","(+/-1,663)","2,430",(+/-962),"7,590","(+/-1,312)","33,096","(+/-2,387)","23,239","(+/-2,330)","36,677","(+/-2,299)","44,407","(+/-3,273)","33,815","(+/-2,457)","46,423","(+/-2,978)","42,031","(+/-2,730)","37,534","(+/-3,812)"
Housing,Value,"$200,000 to $299,999","4,960",(+/-944),"7,073","(+/-1,424)","8,774","(+/-1,844)","5,391","(+/-1,310)","6,306","(+/-1,309)","11,221","(+/-1,868)","1,136",(+/-570),"3,223",(+/-963),"3,701","(+/-1,107)",727,(+/-492),"4,258","(+/-1,172)",952,(+/-618),"2,519","(+/-1,016)","6,786","(+/-1,726)","5,516","(+/-1,470)","12,851","(+/-1,958)","10,851","(+/-1,787)","30,811","(+/-2,836)","46,447","(+/-2,991)","55,763","(+/-3,579)","53,009","(+/-3,206)","52,244","(+/-3,650)","52,741","(+/-3,597)","52,759","(+/-3,466)","56,800","(+/-3,384)","59,319","(+/-3,881)"
Housing,Value,"$300,000 to $499,999","51,745","(+/-3,474)","67,138","(+/-4,072)","23,928","(+/-2,347)","29,947","(+/-3,291)","15,336","(+/-2,210)","25,478","(+/-3,129)","7,978","(+/-2,629)","8,840","(+/-1,664)","7,620","(+/-1,408)","5,508","(+/-1,142)","15,006","(+/-1,731)","9,559","(+/-2,348)","6,753","(+/-1,773)","11,317","(+/-1,806)","8,822","(+/-1,680)","22,299","(+/-2,558)","50,411","(+/-3,453)","85,524","(+/-4,492)","53,082","(+/-3,007)","64,527","(+/-3,661)","40,085","(+/-2,625)","36,232","(+/-2,439)","45,455","(+/-3,223)","36,001","(+/-2,643)","43,399","(+/-2,708)","38,522","(+/-3,216)"
Housing,Value,"$500,000 to $999,999","130,260","(+/-4,248)","102,820","(+/-4,168)","120,010","(+/-4,890)","135,755","(+/-4,695)","90,536","(+/-4,368)","47,862","(+/-3,957)","30,892","(+/-2,959)","46,892","(+/-2,874)","32,352","(+/-3,240)","28,659","(+/-3,496)","92,169","(+/-4,373)","40,680","(+/-4,521)","12,974","(+/-2,208)","35,404","(+/-3,586)","22,827","(+/-2,946)","70,724","(+/-4,256)","99,232","(+/-4,650)","47,161","(+/-3,220)","23,819","(+/-2,437)","25,278","(+/-2,400)","11,976","(+/-1,351)","11,675","(+/-1,608)","15,188","(+/-1,785)","10,696","(+/-1,328)","13,321","(+/-1,453)","13,510","(+/-1,570)"
Housing,Value,"$1,000,000 or more","34,279","(+/-3,031)","5,465","(+/-1,117)","51,870","(+/-3,036)","20,938","(+/-2,378)","15,083","(+/-2,164)","28,474","(+/-2,571)","22,601","(+/-2,741)","24,674","(+/-2,781)","27,027","(+/-2,718)","56,973","(+/-4,630)","30,321","(+/-2,794)","69,981","(+/-4,599)","9,636","(+/-1,961)","14,264","(+/-2,582)","2,515",(+/-817),"31,859","(+/-2,688)","23,913","(+/-2,350)","7,103","(+/-1,370)","4,842","(+/-1,196)","4,880","(+/-1,140)","2,929",(+/-689),"2,458",(+/-693),"2,518",(+/-741),"3,078",(+/-826),"1,501",(+/-623),"1,867",(+/-681)
Housing,Value,"Median (dollars)","632,300","(+/-8,555)","535,400","(+/-9,513)","729,900","(+/-13,718)","645,600","(+/-7,546)","662,300","(+/-10,365)","727,500","(+/-43,384)","828,400","(+/-37,457)","754,100","(+/-26,536)","826,400","(+/-31,065)","1,152,800","(+/-55,623)","708,500","(+/-13,953)","1,129,700","(+/-75,373)","600,200","(+/-64,290)","645,300","(+/-28,172)","511,900","(+/-28,834)","611,500","(+/-15,658)","589,800","(+/-10,422)","384,300","(+/-6,600)","227,000","(+/-4,992)","285,700","(+/-6,525)","180,900","(+/-6,225)","193,100","(+/-5,137)","187,700","(+/-5,820)","173,100","(+/-3,059)","218,800","(+/-4,255)","214,200","(+/-5,192)"
Housing,"Mortgage Status","Owner-occupied units","231,746","(+/-3,942)","192,139","(+/-5,223)","213,154","(+/-5,728)","199,724","(+/-4,800)","136,337","(+/-5,244)","122,910","(+/-5,797)","67,085","(+/-4,142)","93,166","(+/-5,155)","77,198","(+/-3,988)","98,235","(+/-5,610)","149,996","(+/-4,416)","127,452","(+/-6,614)","39,847","(+/-4,008)","76,048","(+/-4,771)","49,066","(+/-4,215)","166,019","(+/-5,590)","196,144","(+/-4,474)","196,341","(+/-5,093)","228,928","(+/-4,412)","205,030","(+/-5,039)","237,391","(+/-3,929)","215,034","(+/-4,218)","245,551","(+/-4,839)","245,330","(+/-4,652)","205,606","(+/-4,154)","206,192","(+/-5,364)"
Housing,"Mortgage Status","Housing units with a mortgage","139,212","(+/-3,912)","127,210","(+/-4,577)","120,274","(+/-4,907)","126,459","(+/-5,697)","87,541","(+/-4,708)","55,320","(+/-4,744)","40,980","(+/-4,164)","58,080","(+/-3,937)","45,712","(+/-3,424)","54,651","(+/-4,204)","90,112","(+/-4,135)","62,147","(+/-5,809)","23,226","(+/-2,967)","39,344","(+/-3,715)","29,177","(+/-3,493)","97,524","(+/-5,170)","119,922","(+/-4,142)","119,098","(+/-4,794)","118,596","(+/-4,521)","123,931","(+/-4,711)","123,097","(+/-4,249)","121,592","(+/-4,266)","126,001","(+/-4,736)","136,350","(+/-3,715)","124,894","(+/-4,503)","113,172","(+/-5,056)"
Housing,"Mortgage Status","Housing units without a mortgage","92,534","(+/-3,942)","64,929","(+/-3,689)","92,880","(+/-4,374)","73,265","(+/-4,059)","48,796","(+/-3,950)","67,590","(+/-4,262)","26,105","(+/-2,774)","35,086","(+/-3,444)","31,486","(+/-2,919)","43,584","(+/-3,788)","59,884","(+/-3,509)","65,305","(+/-4,875)","16,621","(+/-2,922)","36,704","(+/-3,870)","19,889","(+/-2,464)","68,495","(+/-4,364)","76,222","(+/-4,100)","77,243","(+/-3,698)","110,332","(+/-3,575)","81,099","(+/-4,128)","114,294","(+/-3,641)","93,442","(+/-3,673)","119,550","(+/-4,439)","108,980","(+/-3,485)","80,712","(+/-3,841)","93,020","(+/-4,387)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","139,212","(+/-3,912)","127,210","(+/-4,577)","120,274","(+/-4,907)","126,459","(+/-5,697)","87,541","(+/-4,708)","55,320","(+/-4,744)","40,980","(+/-4,164)","58,080","(+/-3,937)","45,712","(+/-3,424)","54,651","(+/-4,204)","90,112","(+/-4,135)","62,147","(+/-5,809)","23,226","(+/-2,967)","39,344","(+/-3,715)","29,177","(+/-3,493)","97,524","(+/-5,170)","119,922","(+/-4,142)","119,098","(+/-4,794)","118,596","(+/-4,521)","123,931","(+/-4,711)","123,097","(+/-4,249)","121,592","(+/-4,266)","126,001","(+/-4,736)","136,350","(+/-3,715)","124,894","(+/-4,503)","113,172","(+/-5,056)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",740,(+/-459),161,(+/-189),330,(+/-250),570,(+/-406),762,(+/-445),337,(+/-272),57,(+/-98),240,(+/-245),115,(+/-116),710,(+/-636),350,(+/-207),30,(+/-54),901,(+/-782),336,(+/-441),111,(+/-129),"1,360",(+/-677),786,(+/-596),677,(+/-457),"1,065",(+/-599),"1,319",(+/-717),882,(+/-388),"1,341",(+/-645),756,(+/-258),"1,502",(+/-532),"1,216",(+/-462),"1,867",(+/-697)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","1,326",(+/-603),"1,558",(+/-638),"2,273",(+/-991),"1,451",(+/-605),"1,528",(+/-496),"2,763",(+/-991),865,(+/-416),"2,176",(+/-825),"1,228",(+/-625),"1,429",(+/-635),"2,230",(+/-708),964,(+/-657),"1,170",(+/-585),"2,015",(+/-877),"2,610",(+/-943),"4,165","(+/-1,281)","1,434",(+/-591),"3,874","(+/-1,050)","12,508","(+/-1,631)","6,816","(+/-1,675)","23,135","(+/-2,274)","16,050","(+/-2,143)","24,222","(+/-1,869)","20,944","(+/-2,090)","14,865","(+/-1,816)","18,739","(+/-2,189)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","4,290","(+/-1,107)","4,601","(+/-1,228)","4,043","(+/-1,133)","3,077","(+/-1,107)","5,290","(+/-1,234)","6,702","(+/-1,731)","1,962",(+/-826),"2,291",(+/-698),"2,939",(+/-827),"2,461",(+/-853),"4,989","(+/-1,237)","2,755","(+/-1,343)","1,764",(+/-971),"3,898","(+/-1,537)","4,093","(+/-1,423)","8,273","(+/-1,691)","3,753",(+/-918),"10,731","(+/-1,833)","31,526","(+/-2,600)","23,985","(+/-2,175)","38,268","(+/-2,591)","39,505","(+/-3,031)","38,947","(+/-2,514)","45,458","(+/-2,858)","36,723","(+/-2,972)","38,401","(+/-3,361)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","10,616","(+/-1,898)","7,631","(+/-1,345)","7,068","(+/-1,565)","5,238","(+/-1,174)","9,351","(+/-1,861)","8,980","(+/-2,020)","3,934","(+/-1,160)","6,688","(+/-1,621)","3,239",(+/-834),"2,899",(+/-879),"8,168","(+/-1,298)","4,358","(+/-1,389)","3,283","(+/-1,045)","3,144",(+/-828),"2,278",(+/-751),"8,055","(+/-1,892)","7,710","(+/-1,489)","22,351","(+/-2,580)","29,214","(+/-2,281)","36,601","(+/-2,915)","31,326","(+/-2,659)","33,338","(+/-3,220)","28,241","(+/-2,578)","36,612","(+/-2,800)","32,999","(+/-2,933)","28,122","(+/-3,111)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","13,699","(+/-2,060)","19,020","(+/-2,227)","9,227","(+/-1,614)","11,744","(+/-1,979)","13,460","(+/-2,267)","5,686","(+/-1,540)","5,223","(+/-2,139)","8,904","(+/-1,591)","5,153","(+/-1,101)","4,634","(+/-1,110)","16,061","(+/-2,219)","5,474","(+/-1,718)","2,687",(+/-903),"2,891",(+/-948),"5,267","(+/-1,468)","6,782","(+/-1,552)","13,323","(+/-1,926)","24,784","(+/-2,497)","18,645","(+/-1,932)","25,329","(+/-2,722)","15,402","(+/-1,916)","14,309","(+/-1,875)","16,133","(+/-2,123)","16,464","(+/-1,653)","18,482","(+/-2,174)","13,807","(+/-2,152)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","23,266","(+/-2,785)","25,267","(+/-2,395)","16,597","(+/-2,598)","17,758","(+/-2,501)","17,063","(+/-1,942)","6,707","(+/-1,405)","5,957","(+/-1,507)","8,213","(+/-1,713)","5,710","(+/-1,524)","4,195","(+/-1,209)","16,993","(+/-2,550)","5,120","(+/-1,600)","2,937","(+/-1,162)","7,302","(+/-1,664)","4,560","(+/-1,086)","7,288","(+/-1,431)","17,943","(+/-2,360)","21,501","(+/-2,787)","11,555","(+/-2,027)","13,097","(+/-2,073)","7,036","(+/-1,203)","7,262","(+/-1,333)","7,788","(+/-1,459)","7,817","(+/-1,214)","8,502","(+/-1,472)","5,429","(+/-1,287)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","85,275","(+/-3,782)","68,972","(+/-3,782)","80,736","(+/-3,817)","86,621","(+/-4,730)","40,087","(+/-3,310)","24,145","(+/-2,629)","22,982","(+/-2,773)","29,568","(+/-2,858)","27,328","(+/-3,003)","38,323","(+/-3,852)","41,321","(+/-3,520)","43,446","(+/-4,862)","10,484","(+/-2,363)","19,758","(+/-2,939)","10,258","(+/-2,342)","61,601","(+/-3,990)","74,973","(+/-3,707)","35,180","(+/-2,806)","14,083","(+/-1,567)","16,784","(+/-1,801)","7,048","(+/-1,415)","9,787","(+/-1,359)","9,914","(+/-1,428)","7,553","(+/-1,128)","12,107","(+/-1,547)","6,807","(+/-1,419)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","3,360",(+/-68),"3,108",(+/-59),"3,604",(+/-87),"3,498",(+/-75),"2,892",(+/-67),"2,738",(+/-164),"3,274",(+/-236),"3,028",(+/-115),"3,365",(+/-152),"4,000+",(***),"2,890",(+/-75),"4,000+",(***),"2,808",(+/-267),"3,008",(+/-158),"2,525",(+/-151),"3,737",(+/-131),"3,419",(+/-78),"2,442",(+/-58),"1,718",(+/-37),"1,906",(+/-41),"1,490",(+/-37),"1,550",(+/-35),"1,487",(+/-39),"1,503",(+/-31),"1,625",(+/-32),"1,468",(+/-37)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","92,534","(+/-3,942)","64,929","(+/-3,689)","92,880","(+/-4,374)","73,265","(+/-4,059)","48,796","(+/-3,950)","67,590","(+/-4,262)","26,105","(+/-2,774)","35,086","(+/-3,444)","31,486","(+/-2,919)","43,584","(+/-3,788)","59,884","(+/-3,509)","65,305","(+/-4,875)","16,621","(+/-2,922)","36,704","(+/-3,870)","19,889","(+/-2,464)","68,495","(+/-4,364)","76,222","(+/-4,100)","77,243","(+/-3,698)","110,332","(+/-3,575)","81,099","(+/-4,128)","114,294","(+/-3,641)","93,442","(+/-3,673)","119,550","(+/-4,439)","108,980","(+/-3,485)","80,712","(+/-3,841)","93,020","(+/-4,387)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",855,(+/-375),"1,347",(+/-738),"1,920",(+/-634),"2,564",(+/-931),"1,998",(+/-642),"6,290","(+/-1,559)","2,126",(+/-761),"3,880","(+/-1,427)","1,879",(+/-915),"4,656","(+/-1,027)","1,641",(+/-571),"9,772","(+/-2,348)","4,345","(+/-1,096)","2,238","(+/-1,185)","3,051","(+/-1,008)","9,143","(+/-2,101)","1,259",(+/-628),"1,214",(+/-570),"5,207","(+/-1,006)","4,245","(+/-1,299)","6,022",(+/-979),"3,774",(+/-865),"5,504",(+/-756),"5,198","(+/-1,035)","1,705",(+/-569),"5,345","(+/-1,104)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","1,209",(+/-543),"1,232",(+/-562),"2,158",(+/-826),957,(+/-702),"1,222",(+/-549),"3,618","(+/-1,242)","1,349",(+/-587),"1,356",(+/-572),869,(+/-447),"1,750",(+/-734),"1,408",(+/-632),"3,381","(+/-1,158)","1,491",(+/-742),"2,604","(+/-1,123)","1,130",(+/-595),"2,199",(+/-938),"1,324",(+/-634),"2,957","(+/-1,044)","12,839","(+/-1,509)","6,719","(+/-1,257)","17,052","(+/-1,573)","10,133","(+/-1,568)","16,146","(+/-1,527)","12,708","(+/-1,404)","7,139","(+/-1,382)","14,790","(+/-1,750)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","2,560",(+/-755),"3,005",(+/-897),"2,984",(+/-933),"2,405",(+/-833),"4,164","(+/-1,097)","5,696","(+/-1,392)","2,394","(+/-1,022)","3,529","(+/-1,058)","2,220",(+/-948),"3,071",(+/-974),"3,614",(+/-826),"3,594","(+/-1,274)","1,269",(+/-644),"2,459",(+/-819),701,(+/-412),"3,267","(+/-1,079)","2,261",(+/-742),"7,999","(+/-1,563)","25,892","(+/-2,114)","15,599","(+/-1,843)","34,036","(+/-2,678)","24,644","(+/-2,303)","32,112","(+/-2,574)","30,339","(+/-1,831)","17,506","(+/-2,048)","25,372","(+/-2,739)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","6,093","(+/-1,335)","3,374",(+/-876),"4,293","(+/-1,265)","2,369",(+/-631),"6,139","(+/-1,151)","5,095","(+/-1,204)","2,834","(+/-1,165)","3,408","(+/-1,013)","3,752","(+/-1,080)","2,604",(+/-697),"7,264","(+/-1,592)","2,771","(+/-1,281)",886,(+/-694),"4,614","(+/-1,301)","2,625",(+/-875),"3,535","(+/-1,186)","4,112",(+/-913),"11,352","(+/-1,558)","25,583","(+/-2,199)","17,194","(+/-2,220)","26,195","(+/-2,208)","22,868","(+/-2,244)","30,311","(+/-2,346)","26,637","(+/-1,726)","19,722","(+/-2,095)","24,241","(+/-2,374)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","8,575","(+/-1,402)","5,185","(+/-1,057)","5,857","(+/-1,296)","4,676","(+/-1,297)","8,282","(+/-1,605)","9,272","(+/-1,550)","4,023","(+/-1,024)","6,187","(+/-1,358)","4,331","(+/-1,062)","3,670","(+/-1,055)","11,238","(+/-1,841)","4,378","(+/-1,197)","2,092","(+/-1,169)","4,667","(+/-1,458)","1,706",(+/-563),"3,600",(+/-930),"5,294",(+/-971),"12,492","(+/-1,925)","16,721","(+/-1,998)","15,632","(+/-1,990)","14,689","(+/-1,536)","13,047","(+/-1,409)","18,184","(+/-2,198)","15,744","(+/-1,704)","13,204","(+/-1,856)","12,720","(+/-1,848)"
